Team,FirstName,LastName,Nationality,Age,Team_Location,College,HighSchool,BirthState,State_Born,Experience,League,FullName,BirthCity,State
WAS,Benton,Maass,,25,District of Columbia,,,MN,Minnesota,,NHL,Benton Maass,,
MIN,Cameron,Crotty,,25,Minnesota,,,ON,Ontario,,NHL,Cameron Crotty,,
PIT,Sebastian,Aho,,28,Pennsylvania,,,,,,NHL,Sebastian Aho,,
SEA,Will,Borgen,,27,Washington,,,MN,Minnesota,,NHL,Will Borgen,,
WPG,Mason,Appleton,,28,Manitoba,,,WI,Wisconsin,,NHL,Mason Appleton,,
COL,Alexandar,Georgiev,,28,Colorado,,,,,,NHL,Alexandar Georgiev,,
ANA,Troy,Terry,,26,California,,,CO,Colorado,,NHL,Troy Terry,,
EDM,Collin,Delia,,30,Alberta,,,CA,California,,NHL,Collin Delia,,
BUF,Rasmus,Dahlin,,24,New York,,,,,,NHL,Rasmus Dahlin,,
WPG,Dominic,Toninato,,30,Manitoba,,,MN,Minnesota,,NHL,Dominic Toninato,,
UTA,Alexander,Kerfoot,,29,Utah,,,BC,British Columbia,,NHL,Alexander Kerfoot,,
WAS,Matthew,Strome,,25,District of Columbia,,,ON,Ontario,,NHL,Matthew Strome,,
EDM,Noel,Hoefenmayer,,25,Alberta,,,ON,Ontario,,NHL,Noel Hoefenmayer,,
STL,Alexey,Toropchenko,,25,Missouri,,,,,,NHL,Alexey Toropchenko,,
TB,Matt,Tomkins,,30,Florida,,,AB,Alberta,,NHL,Matt Tomkins,,
MON,Alex,Barré-Boulet,,27,Quebec,,,QC,Quebec,,NHL,Alex BarréBoulet,,
MIN,Ben,Jones,,25,Minnesota,,,ON,Ontario,,NHL,Ben Jones,,
ANA,Dmitry,Osipov,,27,California,,,,,,NHL,Dmitry Osipov,,
VAN,Jiri,Patera,,25,British Columbia,,,,,,NHL,Jiri Patera,,
WPG,Mason,Shaw,,25,Manitoba,,,AB,Alberta,,NHL,Mason Shaw,,
CGY,Matt,Marcinew,,30,Alberta,,,AB,Alberta,,NHL,Matt Marcinew,,
CAR,Sean,Walker,,29,North Carolina,,,ON,Ontario,,NHL,Sean Walker,,
CGY,Brady,Lyle,,25,Alberta,,,ON,Ontario,,NHL,Brady Lyle,,
COL,Jacob,Macdonald,,31,Colorado,,,OR,Oregon,,NHL,Jacob Macdonald,,
SEA,Ed,Wittchow,,31,Washington,,,MN,Minnesota,,NHL,Ed Wittchow,,
LA,Isaac,Johnson,,25,California,,,MN,Minnesota,,NHL,Isaac Johnson,,
DET,Dominik,Shine,,31,Michigan,,,MI,Michigan,,NHL,Dominik Shine,,
NYI,Jeff,Kubiak,,30,New York,,,IL,Illinois,,NHL,Jeff Kubiak,,
PHI,Jordy,Bellerive,,25,Pennsylvania,,,BC,British Columbia,,NHL,Jordy Bellerive,,
DET,Sheldon,Dries,,30,Michigan,,,MI,Michigan,,NHL,Sheldon Dries,,
NJ,Samuel,Laberge,,27,Unknown,,,QC,Quebec,,NHL,Samuel Laberge,,
PHI,Evan,Polei,,28,Pennsylvania,,,AB,Alberta,,NHL,Evan Polei,,
TB,Mikey,Eyssimont,,27,Florida,,,CO,Colorado,,NHL,Mikey Eyssimont,,
BUF,Connor,Clifton,,29,New York,,,NJ,New Jersey,,NHL,Connor Clifton,,
TOR,Cedric,Pare,,25,Ontario,,,QC,Quebec,,NHL,Cedric Pare,,
OTT,Drake,Batherson,,26,Ontario,,,IN,Indiana,,NHL,Drake Batherson,,
COL,Parker,Kelly,,25,Colorado,,,AB,Alberta,,NHL,Parker Kelly,,
VAN,Pius,Suter,,28,British Columbia,,,,,,NHL,Pius Suter,,
NYR,Alex,Belzile,,32,New York,,,QC,Quebec,,NHL,Alex Belzile,,
BOS,Mark,Kastelic,,25,Massachusetts,,,AZ,Arizona,,NHL,Mark Kastelic,,
NAS,Todd,Burgess,,28,Tennessee,,,AZ,Arizona,,NHL,Todd Burgess,,
OTT,Jeremy,Davies,,27,Ontario,,,QC,Quebec,,NHL,Jeremy Davies,,
VAN,Collin,Adams,,26,British Columbia,,,MI,Michigan,,NHL,Collin Adams,,
WAS,Brandon,Duhaime,,27,District of Columbia,,,FL,Florida,,NHL,Brandon Duhaime,,
VAN,Vincent,Desharnais,,28,British Columbia,,,QC,Quebec,,NHL,Vincent Desharnais,,
PIT,Filip,Larsson,,25,Pennsylvania,,,,,,NHL,Filip Larsson,,
COL,Ross,Colton,,27,Colorado,,,NJ,New Jersey,,NHL,Ross Colton,,
ANA,David,Cotton,,27,California,,,TX,Texas,,NHL,David Cotton,,
SJ,Lucas,Carlsson,,27,California,,,,,,NHL,Lucas Carlsson,,
NYR,Blake,Hillman,,28,New York,,,MN,Minnesota,,NHL,Blake Hillman,,
PHI,Rhett,Gardner,,28,Pennsylvania,,,SK,Saskatchewan,,NHL,Rhett Gardner,,
PIT,Nate,Clurman,,26,Pennsylvania,,,CO,Colorado,,NHL,Nate Clurman,,
VEG,Tanner,Laczynski,,27,Nevada,,,IL,Illinois,,NHL,Tanner Laczynski,,
MON,Michael,Pezzetta,,26,Quebec,,,ON,Ontario,,NHL,Michael Pezzetta,,
WPG,Dean,Stewart,,26,Manitoba,,,MB,Manitoba,,NHL,Dean Stewart,,
WAS,Logan,Thompson,,27,District of Columbia,,,AB,Alberta,,NHL,Logan Thompson,,
OTT,Adam,Gaudette,,27,Ontario,,,MA,Massachusetts,,NHL,Adam Gaudette,,
MON,Jake,Evans,,28,Quebec,,,ON,Ontario,,NHL,Jake Evans,,
BOS,Jeremy,Swayman,,25,Massachusetts,,,AK,Alaska,,NHL,Jeremy Swayman,,
BUF,Sam,Lafferty,,29,New York,,,PA,Pennsylvania,,NHL,Sam Lafferty,,
VEG,Zach,Whitecloud,,27,Nevada,,,MB,Manitoba,,NHL,Zach Whitecloud,,
CHI,Brett,Seney,,28,Illinois,,,ON,Ontario,,NHL,Brett Seney,,
VAN,Kiefer,Sherwood,,29,British Columbia,,,OH,Ohio,,NHL,Kiefer Sherwood,,
VAN,Christian,Wolanin,,29,British Columbia,,,QC,Quebec,,NHL,Christian Wolanin,,
UTA,Austin,Poganski,,28,Utah,,,MN,Minnesota,,NHL,Austin Poganski,,
NYI,Brian,Pinho,,29,New York,,,MA,Massachusetts,,NHL,Brian Pinho,,
NAS,Anthony,Angello,,28,Tennessee,,,NY,New York,,NHL,Anthony Angello,,
VEG,Victor,Olofsson,,28,Nevada,,,,,,NHL,Victor Olofsson,,
CAR,David,Kase,,27,North Carolina,,,,,,NHL,David Kase,,
NYI,Pierre,Engvall,,28,New York,,,,,,NHL,Pierre Engvall,,
DAL,Ilya,Lyubushkin,,30,Texas,,,,,,NHL,Ilya Lyubushkin,,
CAR,Jesperi,Kotkaniemi,,24,North Carolina,,,,,,NHL,Jesperi Kotkaniemi,,
CAR,Andrei,Svechnikov,,24,North Carolina,,,,,,NHL,Andrei Svechnikov,,
OTT,Brady,Tkachuk,,24,Ontario,,,AZ,Arizona,,NHL,Brady Tkachuk,,
UTA,Barrett,Hayton,,24,Utah,,,ON,Ontario,,NHL,Barrett Hayton,,
VAN,Quinn,Hughes,,24,British Columbia,,,FL,Florida,,NHL,Quinn Hughes,,
EDM,Evan,Bouchard,,24,Alberta,,,ON,Ontario,,NHL,Evan Bouchard,,
NYR,K'Andre,Miller,,24,New York,,,MN,Minnesota,,NHL,K'Andre Miller,,
VEG,Grigori,Denisenko,,24,Nevada,,,,,,NHL,Grigori Denisenko,,
CAR,Ty,Smith,,24,North Carolina,,,SK,Saskatchewan,,NHL,Ty Smith,,
NYI,Oliver,Wahlstrom,,24,New York,,,ME,Maine,,NHL,Oliver Wahlstrom,,
NYI,Noah,Dobson,,24,New York,,,PE,Prince Edward Island,,NHL,Noah Dobson,,
TOR,Jay,O'Brien,,24,Ontario,,,MA,Massachusetts,,NHL,Jay O'Brien,,
PHI,Joel,Farabee,,24,Pennsylvania,,,NY,New York,,NHL,Joel Farabee,,
SJ,Ty,Dellandrea,,23,California,,,ON,Ontario,,NHL,Ty Dellandrea,,
WPG,Rasmus,Kupari,,24,Manitoba,,,,,,NHL,Rasmus Kupari,,
ANA,Isac,Lundestrom,,24,California,,,,,,NHL,Isac Lundestrom,,
WAS,Rasmus,Sandin,,24,District of Columbia,,,,,,NHL,Rasmus Sandin,,
WAS,Alexander,Alexeyev,,24,District of Columbia,,,,,,NHL,Alexander Alexeyev,,
DET,Joe,Veleno,,24,Michigan,,,QC,Quebec,,NHL,Joe Veleno,,
OTT,Jacob,Bernard-Docker,,24,Ontario,,,AB,Alberta,,NHL,Jacob BernardDocker,,
DAL,Nils,Lundkvist,,23,Texas,,,,,,NHL,Nils Lundkvist,,
MON,Nicolas,Beaudin,,24,Quebec,,,QC,Quebec,,NHL,Nicolas Beaudin,,
BUF,Mattias,Samuelsson,,24,New York,,,PA,Pennsylvania,,NHL,Mattias Samuelsson,,
TOR,Jonathan,Tychonick,,24,Ontario,,,AB,Alberta,,NHL,Jonathan Tychonick,,
LA,Akil,Thomas,,24,California,,,ON,Ontario,,NHL,Akil Thomas,,
WPG,David,Gustafsson,,24,Manitoba,,,,,,NHL,David Gustafsson,,
DET,Jonatan,Berggren,,23,Michigan,,,,,,NHL,Jonatan Berggren,,
UTA,Jack,McBain,,24,Utah,,,ON,Ontario,,NHL,Jack McBain,,
NAS,Bode,Wilde,,24,Tennessee,,,QC,Quebec,,NHL,Bode Wilde,,
BUF,Ryan,McLeod,,24,New York,,,ON,Ontario,,NHL,Ryan McLeod,,
FLA,Jake,Wise,,24,Florida,,,FL,Florida,,NHL,Jake Wise,,
CAR,Jack,Drury,,24,North Carolina,,,NY,New York,,NHL,Jack Drury,,
TB,Jesse,Ylonen,,24,Florida,,,AZ,Arizona,,NHL,Jesse Ylonen,,
CHI,Philipp,Kurashev,,24,Illinois,,,,,,NHL,Philipp Kurashev,,
MIN,Jakub,Lauko,,24,Minnesota,,,,,,NHL,Jakub Lauko,,
TB,Gabriel,Fortier,,24,Florida,,,QC,Quebec,,NHL,Gabriel Fortier,,
PIT,Jonathan,Gruden,,24,Pennsylvania,,,MI,Michigan,,NHL,Jonathan Gruden,,
CBJ,Kirill,Marchenko,,23,Ohio,,,,,,NHL,Kirill Marchenko,,
NYI,Jakub,Skarek,,24,New York,,,,,,NHL,Jakub Skarek,,
NYR,Bo,Groulx,,24,New York,,,QC,Quebec,,NHL,Bo Groulx,,
VAN,Jett,Woo,,23,British Columbia,,,MB,Manitoba,,NHL,Jett Woo,,
UTA,Sean,Durzi,,25,Utah,,,ON,Ontario,,NHL,Sean Durzi,,
WAS,Riley,Sutter,,24,District of Columbia,,,AB,Alberta,,NHL,Riley Sutter,,
OTT,Jan,Jenik,,23,Ontario,,,,,,NHL,Jan Jenik,,
PHI,Adam,Ginning,,24,Pennsylvania,,,,,,NHL,Adam Ginning,,
NYI,Blade,Jenkins,,23,New York,,,MI,Michigan,,NHL,Blade Jenkins,,
WAS,Martin,Fehervary,,24,District of Columbia,,,,,,NHL,Martin Fehervary,,
VAN,Linus,Karlsson,,24,British Columbia,,,,,,NHL,Linus Karlsson,,
EDM,Xavier,Bernard,,24,Alberta,,,QC,Quebec,,NHL,Xavier Bernard,,
BOS,Alec,Regula,,23,Massachusetts,,,MI,Michigan,,NHL,Alec Regula,,
EDM,Olivier,Rodrigue,,24,Alberta,,,QC,Quebec,,NHL,Olivier Rodrigue,,
ANA,Lukas,Dostal,,24,California,,,,,,NHL,Lukas Dostal,,
COL,Justus,Annunen,,24,Colorado,,,,,,NHL,Justus Annunen,,
CGY,Kevin,Bahl,,24,Alberta,,,BC,British Columbia,,NHL,Kevin Bahl,,
LA,Tyler,Madden,,24,California,,,FL,Florida,,NHL,Tyler Madden,,
SJ,Ty,Emberson,,24,California,,,WI,Wisconsin,,NHL,Ty Emberson,,
MON,Jordan,Harris,,24,Quebec,,,MA,Massachusetts,,NHL,Jordan Harris,,
NAS,Jachym,Kondelik,,24,Tennessee,,,,,,NHL,Jachym Kondelik,,
STL,Scott,Perunovich,,25,Missouri,,,MN,Minnesota,,NHL,Scott Perunovich,,
NYI,Jacob,Pivonka,,24,New York,,,IL,Illinois,,NHL,Jacob Pivonka,,
NYI,Ruslan,Iskhakov,,23,New York,,,,,,NHL,Ruslan Iskhakov,,
NYI,Alexander,Romanov,,24,New York,,,,,,NHL,Alexander Romanov,,
TOR,Connor,Dewar,,25,Ontario,,,MB,Manitoba,,NHL,Connor Dewar,,
UTA,Curtis,Douglas,,24,Utah,,,ON,Ontario,,NHL,Curtis Douglas,,
MON,Olivier,Galipeau,,27,Quebec,,,QC,Quebec,,NHL,Olivier Galipeau,,
DET,Joel,L'Esperance,,28,Michigan,,,MI,Michigan,,NHL,Joel L'Esperance,,
CGY,Yegor,Sharangovich,,26,Alberta,,,,,,NHL,Yegor Sharangovich,,
COL,Logan,O'Connor,,27,Colorado,,,TX,Texas,,NHL,Logan O'Connor,,
EDM,Ben,Gleason,,26,Alberta,,,MI,Michigan,,NHL,Ben Gleason,,
CBJ,Robbie,Payne,,31,Ohio,,,MI,Michigan,,NHL,Robbie Payne,,
LA,Wyatte,Wylie,,24,California,,,WA,Washington,,NHL,Wyatte Wylie,,
PHI,Egor,Zamula,,24,Pennsylvania,,,,,,NHL,Egor Zamula,,
STL,Joel,Hofer,,23,Missouri,,,MB,Manitoba,,NHL,Joel Hofer,,
STL,Mathias,Laferriere,,24,Missouri,,,QC,Quebec,,NHL,Mathias Laferriere,,
STL,Tyler,Tucker,,24,Missouri,,,ON,Ontario,,NHL,Tyler Tucker,,
UTA,Montana,Onyebuchi,,24,Utah,,,MB,Manitoba,,NHL,Montana Onyebuchi,,
VAN,Chase,Wouters,,24,British Columbia,,,SK,Saskatchewan,,NHL,Chase Wouters,,
VAN,Alex,Kannok-Leipert,,23,British Columbia,,,,,,NHL,Alex KannokLeipert,,
CBJ,Trey,Fix-Wolansky,,25,Ohio,,,AB,Alberta,,NHL,Trey FixWolansky,,
BUF,Damien,Giroux,,24,New York,,,ON,Ontario,,NHL,Damien Giroux,,
CGY,Mitchell,McLain,,30,Alberta,,,MN,Minnesota,,NHL,Mitchell McLain,,
TOR,Simon,Benoit,,25,Ontario,,,QC,Quebec,,NHL,Simon Benoit,,
NAS,Xavier,Bouchard,,24,Tennessee,,,QC,Quebec,,NHL,Xavier Bouchard,,
EDM,Connor,Corcoran,,23,Alberta,,,ON,Ontario,,NHL,Connor Corcoran,,
MON,Rafael,Harvey-Pinard,,25,Quebec,,,QC,Quebec,,NHL,Rafael HarveyPinard,,
COL,Ryan,Wagner,,28,Colorado,,,IL,Illinois,,NHL,Ryan Wagner,,
CGY,Jonathan,Aspirot,,25,Alberta,,,QC,Quebec,,NHL,Jonathan Aspirot,,
OTT,Kevin,Mandolese,,23,Ontario,,,QC,Quebec,,NHL,Kevin Mandolese,,
PIT,Mac,Hollowell,,25,Pennsylvania,,,ON,Ontario,,NHL,Mac Hollowell,,
SEA,Luke,Henman,,24,Washington,,,NS,Nova Scotia,,NHL,Luke Henman,,
COL,Nick,Henry,,25,Colorado,,,MB,Manitoba,,NHL,Nick Henry,,
MIN,Declan,Chisholm,,24,Minnesota,,,ON,Ontario,,NHL,Declan Chisholm,,
WPG,Kristian,Reichel,,26,Manitoba,,,,,,NHL,Kristian Reichel,,
CBJ,Jake,Christiansen,,24,Ohio,,,BC,British Columbia,,NHL,Jake Christiansen,,
CGY,Brayden,Pachal,,24,Alberta,,,SK,Saskatchewan,,NHL,Brayden Pachal,,
WAS,Logan,Day,,29,District of Columbia,,,FL,Florida,,NHL,Logan Day,,
MON,Zachary,Emond,,24,Quebec,,,QC,Quebec,,NHL,Zachary Emond,,
NYI,Kyle,MacLean,,25,New York,,,NJ,New Jersey,,NHL,Kyle MacLean,,
STL,Mitchell,Hoelscher,,24,Missouri,,,ON,Ontario,,NHL,Mitchell Hoelscher,,
NJ,Ryan,Schmelzer,,30,Unknown,,,NY,New York,,NHL,Ryan Schmelzer,,
VEG,Akira,Schmid,,24,Nevada,,,,,,NHL,Akira Schmid,,
NYI,Christian,Krygier,,24,New York,,,FL,Florida,,NHL,Christian Krygier,,
TOR,Matthew,Hellickson,,26,Ontario,,,MN,Minnesota,,NHL,Matthew Hellickson,,
STL,Samuel,Bitten,,24,Missouri,,,ON,Ontario,,NHL,Samuel Bitten,,
PIT,Filip,Kral,,24,Pennsylvania,,,,,,NHL,Filip Kral,,
MON,Josh,Anderson,,30,Quebec,,,ON,Ontario,,NHL,Josh Anderson,,
STL,Hugh,McGing,,25,Missouri,,,IL,Illinois,,NHL,Hugh McGing,,
CGY,Martin,Pospisil,,24,Alberta,,,,,,NHL,Martin Pospisil,,
NAS,Spencer,Stastney,,24,Tennessee,,,IL,Illinois,,NHL,Spencer Stastney,,
FLA,Skyler,Brind'amour,,24,Florida,,,NC,North Carolina,,NHL,Skyler Brind'amour,,
UTA,Michael,Kesselring,,24,Utah,,,NH,New Hampshire,,NHL,Michael Kesselring,,
CAR,Jack,Dugan,,26,North Carolina,,,PA,Pennsylvania,,NHL,Jack Dugan,,
BUF,Jack,Rathbone,,25,New York,,,MA,Massachusetts,,NHL,Jack Rathbone,,
NJ,Paul,Cotter,,24,Unknown,,,MI,Michigan,,NHL,Paul Cotter,,
MON,Cayden,Primeau,,24,Quebec,,,MI,Michigan,,NHL,Cayden Primeau,,
OTT,Angus,Crookshank,,24,Ontario,,,BC,British Columbia,,NHL,Angus Crookshank,,
PIT,Emil,Bemstrom,,25,Pennsylvania,,,,,,NHL,Emil Bemstrom,,
WPG,Morgan,Barron,,25,Manitoba,,,NS,Nova Scotia,,NHL,Morgan Barron,,
PIT,Jimmy,Huntington,,25,Pennsylvania,,,QC,Quebec,,NHL,Jimmy Huntington,,
NAS,Tye,Felhaber,,25,Tennessee,,,ON,Ontario,,NHL,Tye Felhaber,,
MIN,Reese,Johnson,,26,Minnesota,,,SK,Saskatchewan,,NHL,Reese Johnson,,
NAS,Jacob,Lucchini,,29,Tennessee,,,BC,British Columbia,,NHL,Jacob Lucchini,,
STL,Joseph,Duszak,,26,Missouri,,,NY,New York,,NHL,Joseph Duszak,,
DET,Joe,Snively,,28,Michigan,,,VA,Virginia,,NHL,Joe Snively,,
COL,Nikolai,Kovalenko,,24,Colorado,,,NC,North Carolina,,NHL,Nikolai Kovalenko,,
PHI,Samuel,Ersson,,24,Pennsylvania,,,,,,NHL,Samuel Ersson,,
DAL,Mathias Emilio,Pettersen,,24,Texas,,,,,,NHL,Mathias Emilio Pettersen,,
MIN,Joseph,Cecconi,,27,Minnesota,,,NY,New York,,NHL,Joseph Cecconi,,
DAL,Josh,Melnick,,29,Texas,,,NJ,New Jersey,,NHL,Josh Melnick,,
MIN,Sammy,Walker,,25,Minnesota,,,MN,Minnesota,,NHL,Sammy Walker,,
NYI,Grant,Hutton,,28,New York,,,IN,Indiana,,NHL,Grant Hutton,,
NJ,Erik,Kallgren,,27,Unknown,,,,,,NHL,Erik Kallgren,,
SJ,Nico,Sturm,,29,California,,,,,,NHL,Nico Sturm,,
SEA,Joey,Daccord,,27,Washington,,,MA,Massachusetts,,NHL,Joey Daccord,,
DET,Brogan,Rafferty,,29,Michigan,,,IL,Illinois,,NHL,Brogan Rafferty,,
BUF,Mason,Jobst,,30,New York,,,IN,Indiana,,NHL,Mason Jobst,,
PIT,Blake,Lizotte,,26,Pennsylvania,,,MN,Minnesota,,NHL,Blake Lizotte,,
SJ,Jimmy,Schuldt,,29,California,,,MN,Minnesota,,NHL,Jimmy Schuldt,,
BUF,Brandon,Fortunato,,28,New York,,,NY,New York,,NHL,Brandon Fortunato,,
LA,Vladislav,Gavrikov,,28,California,,,,,,NHL,Vladislav Gavrikov,,
BUF,Jacob,Bryson,,26,New York,,,ON,Ontario,,NHL,Jacob Bryson,,
LA,Mikey,Anderson,,25,California,,,MN,Minnesota,,NHL,Mikey Anderson,,
CHI,Ilya,Mikheyev,,29,Illinois,,,,,,NHL,Ilya Mikheyev,,
BUF,Arttu,Ruotsalainen,,26,New York,,,,,,NHL,Arttu Ruotsalainen,,
SEA,Ales,Stezka,,27,Washington,,,,,,NHL,Ales Stezka,,
COL,Joel,Kiviranta,,28,Colorado,,,,,,NHL,Joel Kiviranta,,
NYI,Samuel,Asselin,,26,New York,,,QC,Quebec,,NHL,Samuel Asselin,,
NJ,Jack,Hughes,,23,Unknown,,,FL,Florida,,NHL,Jack Hughes,,
NYR,Kaapo,Kakko,,23,New York,,,,,,NHL,Kaapo Kakko,,
MON,Kirby,Dach,,23,Quebec,,,AB,Alberta,,NHL,Kirby Dach,,
LA,Alex,Turcotte,,23,California,,,IL,Illinois,,NHL,Alex Turcotte,,
BUF,Bowen,Byram,,23,New York,,,BC,British Columbia,,NHL,Bowen Byram,,
DET,Moritz,Seider,,23,Michigan,,,,,,NHL,Moritz Seider,,
VAN,Vasily,Podkolzin,,23,British Columbia,,,,,,NHL,Vasily Podkolzin,,
UTA,Victor,Soderstrom,,23,Utah,,,,,,NHL,Victor Soderstrom,,
BUF,Dylan,Cozens,,23,New York,,,YT,Yukon,,NHL,Dylan Cozens,,
MIN,Matt,Boldy,,23,Minnesota,,,MA,Massachusetts,,NHL,Matt Boldy,,
ANA,Trevor,Zegras,,23,California,,,NY,New York,,NHL,Trevor Zegras,,
DAL,Thomas,Harley,,22,Texas,,,NY,New York,,NHL,Thomas Harley,,
CAR,Ryan,Suzuki,,23,North Carolina,,,ON,Ontario,,NHL,Ryan Suzuki,,
PHI,Cam,York,,23,Pennsylvania,,,CA,California,,NHL,Cam York,,
MON,Alex,Newhook,,23,Quebec,,,NL,Newfoundland and Labrador,,NHL,Alex Newhook,,
CGY,Jakob,Pelletier,,23,Alberta,,,QC,Quebec,,NHL,Jakob Pelletier,,
NAS,Philip,Tomasino,,22,Tennessee,,,ON,Ontario,,NHL,Philip Tomasino,,
NJ,Nolan,Foote,,23,Unknown,,,CO,Colorado,,NHL,Nolan Foote,,
PIT,Sam,Poulin,,23,Pennsylvania,,,QC,Quebec,,NHL,Sam Poulin,,
WAS,Connor,McMichael,,23,District of Columbia,,,ON,Ontario,,NHL,Connor McMichael,,
BOS,John,Beecher,,23,Massachusetts,,,NY,New York,,NHL,John Beecher,,
FLA,Spencer,Knight,,23,Florida,,,CT,Connecticut,,NHL,Spencer Knight,,
EDM,Philip,Broberg,,23,Alberta,,,,,,NHL,Philip Broberg,,
WPG,Ville,Heinola,,23,Manitoba,,,,,,NHL,Ville Heinola,,
FLA,Tobias,Bjornfot,,23,Florida,,,,,,NHL,Tobias Bjornfot,,
NYI,Simon,Holmstrom,,23,New York,,,,,,NHL,Simon Holmstrom,,
ANA,Brett,Leason,,25,California,,,AB,Alberta,,NHL,Brett Leason,,
LA,Arthur,Kaliyev,,23,California,,,,,,NHL,Arthur Kaliyev,,
BUF,Peyton,Krebs,,23,New York,,,AB,Alberta,,NHL,Peyton Krebs,,
EDM,Raphael,Lavoie,,23,Alberta,,,QC,Quebec,,NHL,Raphael Lavoie,,
NYR,Matthew,Robertson,,23,New York,,,AB,Alberta,,NHL,Matthew Robertson,,
SJ,Egor,Afanasyev,,23,California,,,,,,NHL,Egor Afanasyev,,
OTT,Jamieson,Rees,,23,Ontario,,,ON,Ontario,,NHL,Jamieson Rees,,
CHI,Alex,Vlasic,,23,Illinois,,,IL,Illinois,,NHL,Alex Vlasic,,
PHI,Bobby,Brink,,23,Pennsylvania,,,MN,Minnesota,,NHL,Bobby Brink,,
TOR,Nicholas,Robertson,,22,Ontario,,,CA,California,,NHL,Nicholas Robertson,,
VEG,Kaedan,Korczak,,23,Nevada,,,SK,Saskatchewan,,NHL,Kaedan Korczak,,
SJ,Henry,Thrun,,23,California,,,MA,Massachusetts,,NHL,Henry Thrun,,
ANA,Drew,Helleson,,23,California,,,MN,Minnesota,,NHL,Drew Helleson,,
BOS,John,Farinacci,,23,Massachusetts,,,NJ,New Jersey,,NHL,John Farinacci,,
OTT,Shane,Pinto,,23,Ontario,,,NY,New York,,NHL,Shane Pinto,,
STL,Nikita,Alexandrov,,23,Missouri,,,,,,NHL,Nikita Alexandrov,,
TOR,Robert,Mastrosimone,,23,Ontario,,,NY,New York,,NHL,Robert Mastrosimone,,
MIN,Graeme,Clarke,,23,Minnesota,,,ON,Ontario,,NHL,Graeme Clarke,,
OTT,Mads,Sogaard,,23,Ontario,,,,,,NHL,Mads Sogaard,,
CGY,Ilya,Nikolayev,,23,Alberta,,,,,,NHL,Ilya Nikolayev,,
NJ,Adam,Beckman,,23,Unknown,,,SK,Saskatchewan,,NHL,Adam Beckman,,
ANA,Jackson,LaCombe,,23,California,,,MN,Minnesota,,NHL,Jackson LaCombe,,
NJ,Daniil,Misyul,,23,Unknown,,,,,,NHL,Daniil Misyul,,
TOR,Mikko,Kokkonen,,23,Ontario,,,,,,NHL,Mikko Kokkonen,,
VAN,Nils,Hoglander,,23,British Columbia,,,,,,NHL,Nils Hoglander,,
VEG,Pavel,Dorofeyev,,23,Nevada,,,,,,NHL,Pavel Dorofeyev,,
LA,Samuel,Fagemo,,24,California,,,,,,NHL,Samuel Fagemo,,
CAR,Anttoni,Honka,,23,North Carolina,,,,,,NHL,Anttoni Honka,,
CAR,Domenick,Fensore,,22,North Carolina,,,NY,New York,,NHL,Domenick Fensore,,
UTA,Matias,Maccelli,,23,Utah,,,,,,NHL,Matias Maccelli,,
CHI,Michal,Teply,,23,Illinois,,,,,,NHL,Michal Teply,,
UTA,Vladislav,Kolyachonok,,23,Utah,,,,,,NHL,Vladislav Kolyachonok,,
WPG,Henri,Nikkanen,,23,Manitoba,,,,,,NHL,Henri Nikkanen,,
DET,Albert,Johansson,,23,Michigan,,,,,,NHL,Albert Johansson,,
NJ,Nathan,Legare,,23,Unknown,,,QC,Quebec,,NHL,Nathan Legare,,
ANA,Judd,Caulfield,,23,California,,,ND,North Dakota,,NHL,Judd Caulfield,,
LA,Jordan,Spence,,23,California,,,New South Wales,New South Wales,,NHL,Jordan Spence,,
NYR,Zac,Jones,,23,New York,,,VA,Virginia,,NHL,Zac Jones,,
PHI,Ronnie,Attard,,25,Pennsylvania,,,MI,Michigan,,NHL,Ronnie Attard,,
MON,Jayden,Struble,,22,Quebec,,,RI,Rhode Island,,NHL,Jayden Struble,,
CHI,Antti,Saarela,,23,Illinois,,,,,,NHL,Antti Saarela,,
DET,Antti,Tuomisto,,23,Michigan,,,,,,NHL,Antti Tuomisto,,
WAS,Aliaksei,Protas,,23,District of Columbia,,,,,,NHL,Aliaksei Protas,,
NYI,Samuel,Bolduc,,23,New York,,,QC,Quebec,,NHL,Samuel Bolduc,,
STL,Mikhail,Abramov,,23,Missouri,,,,,,NHL,Mikhail Abramov,,
WPG,Simon,Lundmark,,23,Manitoba,,,,,,NHL,Simon Lundmark,,
COL,Matthew,Stienburg,,23,Colorado,,,NS,Nova Scotia,,NHL,Matthew Stienburg,,
LA,Erik,Portillo,,23,California,,,,,,NHL,Erik Portillo,,
PIT,John,Ludvig,,23,Pennsylvania,,,BC,British Columbia,,NHL,John Ludvig,,
CGY,Cole,Schwindt,,23,Alberta,,,ON,Ontario,,NHL,Cole Schwindt,,
STL,Colten,Ellis,,23,Missouri,,,NS,Nova Scotia,,NHL,Colten Ellis,,
COL,Dalton,Smith,,32,Colorado,,,ON,Ontario,,NHL,Dalton Smith,,
VAN,Dakota,Joshua,,28,British Columbia,,,MI,Michigan,,NHL,Dakota Joshua,,
UTA,John,Marino,,27,Utah,,,MA,Massachusetts,,NHL,John Marino,,
NYI,Marshall,Warren,,23,New York,,,NY,New York,,NHL,Marshall Warren,,
STL,Vadim,Zherenko,,23,Missouri,,,,,,NHL,Vadim Zherenko,,
NJ,Jack,Malone,,23,Unknown,,,CA,California,,NHL,Jack Malone,,
