Team,FirstName,LastName,Nationality,Age,Team_Location,College,HighSchool,BirthState,State_Born,Experience,League,FullName,BirthCity,State
Colorado Rapids Soccer Club,Jasper,Löffelsend,Germany,26,Colorado,,,,,,MLS,Jasper Löffelsend,,
Colorado Rapids Soccer Club,Nate,Jones,United States,22,Colorado,,,,,,MLS,Nate Jones,,
Colorado Rapids Soccer Club,Kimani,Stewart-Baynes,Canada,19,Colorado,,,,,,MLS,Kimani StewartBaynes,,
Colorado Rapids Soccer Club,Wayne,Frederick,Trinidad and Tobago,20,Colorado,,,,,,MLS,Wayne Frederick,,
Colorado Rapids Soccer Club,Ethan ,Bandré,United States,25,Colorado,,,,,,MLS,Ethan Bandré,,
Columbus Crew,Evan,Bush,United States,38,Ohio,,,,,,MLS,Evan Bush,,
Columbus Crew,Darlington,Nagbe,United States,33,Ohio,,,,,,MLS,Darlington Nagbe,,
Columbus Crew,Yaw,Yeboah,Ghana,27,Ohio,,,,,,MLS,Yaw Yeboah,,
Columbus Crew,Steven,Moreira,Cabo Verde,29,Ohio,,,,,,MLS,Steven Moreira,,
Columbus Crew,Alexandru Irinel,Măţan,Romania,24,Ohio,,,,,,MLS,Alexandru Irinel Măţan,,
Columbus Crew,Christian,Ramírez,United States,33,Ohio,,,,,,MLS,Christian Ramírez,,
Columbus Crew,Derrick,Jones Amaniampong,United States,27,Ohio,,,,,,MLS,Derrick Jones Amaniampong,,
Columbus Crew,Yevhen Ihorovych,Cheberko,Ukraine,26,Ohio,,,,,,MLS,Yevhen Ihorovych Cheberko,,
Columbus Crew,Diego Martín,Rossi Marachlian,Uruguay,26,Ohio,,,,,,MLS,Diego Martín Rossi Marachlian,,
Columbus Crew,Malte,Amundsen,Denmark,26,Ohio,,,,,,MLS,Malte Amundsen,,
Columbus Crew,Rudy,Camacho,France,33,Ohio,,,,,,MLS,Rudy Camacho,,
Columbus Crew,Juan Camilo,Hernández Suárez,Colombia,25,Ohio,,,,,,MLS,Juan Camilo Hernández Suárez,,
Columbus Crew,Nicholas George,Hagen Godoy,Guatemala,27,Ohio,,,,,,MLS,Nicholas George Hagen Godoy,,
Columbus Crew,Marino,Hinestroza Angulo,Colombia,22,Ohio,,,,,,MLS,Marino Hinestroza Angulo,,
Columbus Crew,Marino,Hinestroza Angulo,Colombia,22,Ohio,,,,,,MLS,Marino Hinestroza Angulo,,
Columbus Crew,Patrick,Schulte,United States,23,Ohio,,,,,,MLS,Patrick Schulte,,
Columbus Crew,William,Sands,United States,24,Ohio,,,,,,MLS,William Sands,,
Columbus Crew,Sean,Zawadzki,United States,24,Ohio,,,,,,MLS,Sean Zawadzki,,
Columbus Crew,Jacen Rex ,Russell-Rowe,Canada,21,Ohio,,,,,,MLS,Jacen Rex RussellRowe,,
Columbus Crew,Mohamed,Farsi,Canada,24,Ohio,,,,,,MLS,Mohamed Farsi,,
Columbus Crew,Maximilian,Arfsten,United States,23,Ohio,,,,,,MLS,Maximilian Arfsten,,
Columbus Crew,Taha,Habroune,United States,18,Ohio,,,,,,MLS,Taha Habroune,,
Columbus Crew,Cole ,Mrowka,United States,18,Ohio,,,,,,MLS,Cole Mrowka,,
Columbus Crew,Stanisłaŭ Dźmitryjevič,Łapkies,Belarus,18,Ohio,,,,,,MLS,Stanisłaŭ Dźmitryjevič Łapkies,,
Columbus Crew,Giorgio ,De Libera,United States,18,Ohio,,,,,,MLS,Giorgio De Libera,,
Columbus Crew,Cole ,Johnson,United States,22,Ohio,,,,,,MLS,Cole Johnson,,
D.C. United Soccer Club,Christian,Benteke Liolo,Belgium,33,District of Columbia,,,,,,MLS,Christian Benteke Liolo,,
D.C. United Soccer Club,Russell Scott,Canouse,United States,29,District of Columbia,,,,,,MLS,Russell Scott Canouse,,
D.C. United Soccer Club,Steven Mitchell,Birnbaum,United States,33,District of Columbia,,,,,,MLS,Steven Mitchell Birnbaum,,
D.C. United Soccer Club,Tyler Austin,Miller,United States,31,District of Columbia,,,,,,MLS,Tyler Austin Miller,,
D.C. United Soccer Club,Alexander Nicholas,Bono,United States,30,District of Columbia,,,,,,MLS,Alexander Nicholas Bono,,
D.C. United Soccer Club,Pedro Miguel,Martins Santos,Portugal,36,District of Columbia,,,,,,MLS,Pedro Miguel Martins Santos,,
D.C. United Soccer Club,Mohanad Abdulkhadim Qasim,Al Jebur,Iraq,27,District of Columbia,,,,,,MLS,Mohanad Abdulkhadim Qasim Al Jebur,,
D.C. United Soccer Club,Mateusz Andrzej,Klich,Poland,34,District of Columbia,,,,,,MLS,Mateusz Andrzej Klich,,
D.C. United Soccer Club,Martín Vladimir,Rodríguez Torrejon,Chile,29,District of Columbia,,,,,,MLS,Martín Vladimir Rodríguez Torrejon,,
D.C. United Soccer Club,Cody,Mizell,United States,32,District of Columbia,,,,,,MLS,Cody Mizell,,
D.C. United Soccer Club,Cristian Andrés,Dájome Arboleda,Colombia,30,District of Columbia,,,,,,MLS,Cristian Andrés Dájome Arboleda,,
D.C. United Soccer Club,Aaron Joseph,Herrera,Guatemala,27,District of Columbia,,,,,,MLS,Aaron Joseph Herrera,,
D.C. United Soccer Club,Matti,Peltola,Finland,22,District of Columbia,,,,,,MLS,Matti Peltola,,
D.C. United Soccer Club,Jared,Stroud,United States,28,District of Columbia,,,,,,MLS,Jared Stroud,,
D.C. United Soccer Club,Ethan Christopher,Dobbelaere,United States,21,District of Columbia,,,,,,MLS,Ethan Christopher Dobbelaere,,
D.C. United Soccer Club,Gabriel,Cordeiro Pirani,Brazil,22,District of Columbia,,,,,,MLS,Gabriel Cordeiro Pirani,,
