Team,FirstName,LastName,Nationality,Team_Location,College,HighSchool,BirthState,State_Born,Experience,League,BirthCity,State,FullName
OTT,Hayden,Hodgson,,Ontario,,,ON,Ontario,,NHL,,,Hayden Hodgson
FLA,Gustav,Forsling,,Florida,,,,,,NHL,,,Gustav Forsling
DET,Ville,Husso,,Michigan,,,,,,NHL,,,Ville Husso
NYR,Jimmy,Vesey,,New York,,,MA,Massachusetts,,NHL,,,Jimmy Vesey
VEG,Mason,Geertsen,,Nevada,,,AB,Alberta,,NHL,,,Mason Geertsen
CBJ,Zach,Werenski,,Ohio,,,MI,Michigan,,NHL,,,Zach Werenski
WPG,Kyle,Connor,,Manitoba,,,MI,Michigan,,NHL,,,Kyle Connor
ANA,Jansen,Harkins,,California,,,OH,Ohio,,NHL,,,Jansen Harkins
BUF,Jordan,Greenway,,New York,,,NY,New York,,NHL,,,Jordan Greenway
VAN,Brock,Boeser,,British Columbia,,,MN,Minnesota,,NHL,,,Brock Boeser
NAS,Tommy,Novak,,Tennessee,,,MN,Minnesota,,NHL,,,Tommy Novak
SJ,Mackenzie,Blackwood,,California,,,ON,Ontario,,NHL,,,Mackenzie Blackwood
MON,Sam,Montembeault,,Quebec,,,QC,Quebec,,NHL,,,Sam Montembeault
VEG,Adin,Hill,,Nevada,,,BC,British Columbia,,NHL,,,Adin Hill
VEG,Ilya,Samsonov,,Nevada,,,,,,NHL,,,Ilya Samsonov
CGY,Dan,Vladar,,Alberta,,,,,,NHL,,,Dan Vladar
UTA,Connor,Ingram,,Utah,,,SK,Saskatchewan,,NHL,,,Connor Ingram
BUF,Felix,Sandstrom,,New York,,,,,,NHL,,,Felix Sandstrom
COL,Mitchell,Vande Sompel,,Colorado,,,ON,Ontario,,NHL,,,Mitchell Vande Sompel
BUF,Brendan,Warren,,New York,,,MI,Michigan,,NHL,,,Brendan Warren
LA,Glenn,Gawdin,,California,,,BC,British Columbia,,NHL,,,Glenn Gawdin
DET,Christian,Fischer,,Michigan,,,IL,Illinois,,NHL,,,Christian Fischer
PIT,Austin,Wagner,,Pennsylvania,,,AB,Alberta,,NHL,,,Austin Wagner
DAL,Roope,Hintz,,Texas,,,,,,NHL,,,Roope Hintz
CAR,Sebastian,Aho,,North Carolina,,,,,,NHL,,,Sebastian Aho
MIN,Joel,Eriksson Ek,,Minnesota,,,,,,NHL,,,Joel Eriksson Ek
TB,Erik,Cernak,,Florida,,,,,,NHL,,,Erik Cernak
NAS,Alexandre,Carrier,,Tennessee,,,QC,Quebec,,NHL,,,Alexandre Carrier
NAS,Jeremy,Lauzon,,Tennessee,,,QC,Quebec,,NHL,,,Jeremy Lauzon
ANA,Brent,Gates,,California,,,MI,Michigan,,NHL,,,Brent Gates
FLA,A.J.,Greer,,Florida,,,QC,Quebec,,NHL,,,A.J. Greer
UTA,Kevin,Stenlund,,Utah,,,,,,NHL,,,Kevin Stenlund
DAL,Kyle,Capobianco,,Texas,,,ON,Ontario,,NHL,,,Kyle Capobianco
TB,Anthony,Cirelli,,Florida,,,ON,Ontario,,NHL,,,Anthony Cirelli
BUF,Dennis,Gilbert,,New York,,,NY,New York,,NHL,,,Dennis Gilbert
CBJ,Sean,Kuraly,,Ohio,,,NY,New York,,NHL,,,Sean Kuraly
PIT,Michael,Bunting,,Pennsylvania,,,ON,Ontario,,NHL,,,Michael Bunting
WAS,Jake,Massie,,District of Columbia,,,QC,Quebec,,NHL,,,Jake Massie
SEA,Nikolas,Brouillard,,Washington,,,QC,Quebec,,NHL,,,Nikolas Brouillard
TOR,Philippe,Myers,,Ontario,,,NB,New Brunswick,,NHL,,,Philippe Myers
VAN,Conor,Garland,,British Columbia,,,MA,Massachusetts,,NHL,,,Conor Garland
NYR,Jonny,Brodzinski,,New York,,,MN,Minnesota,,NHL,,,Jonny Brodzinski
MIN,Kale,Kessy,,Minnesota,,,SK,Saskatchewan,,NHL,,,Kale Kessy
PHI,Anthony,Richard,,Pennsylvania,,,QC,Quebec,,NHL,,,Anthony Richard
CAR,Eric,Robinson,,North Carolina,,,NJ,New Jersey,,NHL,,,Eric Robinson
NYR,Igor,Shesterkin,,New York,,,,,,NHL,,,Igor Shesterkin
CGY,Dryden,Hunt,,Alberta,,,BC,British Columbia,,NHL,,,Dryden Hunt
SJ,Matt,Benning,,California,,,AB,Alberta,,NHL,,,Matt Benning
PHI,Nick,Seeler,,Pennsylvania,,,MN,Minnesota,,NHL,,,Nick Seeler
MIN,Travis,Boyd,,Minnesota,,,MN,Minnesota,,NHL,,,Travis Boyd
BUF,Ethan,Prow,,New York,,,MN,Minnesota,,NHL,,,Ethan Prow
WAS,Charlie,Lindgren,,District of Columbia,,,MN,Minnesota,,NHL,,,Charlie Lindgren
PIT,Bokondji,Imama,,Pennsylvania,,,QC,Quebec,,NHL,,,Bokondji Imama
STL,Mathieu,Joseph,,Missouri,,,QC,Quebec,,NHL,,,Mathieu Joseph
WAS,Spencer,Smallman,,District of Columbia,,,PE,Prince Edward Island,,NHL,,,Spencer Smallman
VEG,Nicolas,Roy,,Nevada,,,QC,Quebec,,NHL,,,Nicolas Roy
CBJ,Olivier,Leblanc,,Ohio,,,QC,Quebec,,NHL,,,Olivier Leblanc
SEA,Brandon,Tanev,,Washington,,,ON,Ontario,,NHL,,,Brandon Tanev
STL,Mackenzie,MacEachern,,Missouri,,,MI,Michigan,,NHL,,,Mackenzie MacEachern
LA,Sam,Jardine,,California,,,AB,Alberta,,NHL,,,Sam Jardine
DET,Alex,Lyon,,Michigan,,,MN,Minnesota,,NHL,,,Alex Lyon
DET,Tyler,Motte,,Michigan,,,MI,Michigan,,NHL,,,Tyler Motte
COL,Miles,Wood,,Colorado,,,NY,New York,,NHL,,,Miles Wood
EDM,Troy,Stecher,,Alberta,,,BC,British Columbia,,NHL,,,Troy Stecher
COL,Devon,Toews,,Colorado,,,BC,British Columbia,,NHL,,,Devon Toews
COL,Justin,Scott,,Colorado,,,ON,Ontario,,NHL,,,Justin Scott
BOS,Parker,Wotherspoon,,Massachusetts,,,BC,British Columbia,,NHL,,,Parker Wotherspoon
EDM,Drake,Caggiula,,Alberta,,,ON,Ontario,,NHL,,,Drake Caggiula
LA,David,Rittich,,California,,,,,,NHL,,,David Rittich
TOR,Auston,Matthews,,Ontario,,,CA,California,,NHL,,,Auston Matthews
CBJ,Patrik,Laine,,Ohio,,,,,,NHL,,,Patrik Laine
WAS,Pierre-Luc,Dubois,,District of Columbia,,,QC,Quebec,,NHL,,,Pierre-Luc Dubois
PIT,Jesse,Puljujärvi,,Pennsylvania,,,,,,NHL,,,Jesse Puljujärvi
FLA,Matthew,Tkachuk,,Florida,,,AZ,Arizona,,NHL,,,Matthew Tkachuk
UTA,Mikhail,Sergachev,,Utah,,,,,,NHL,,,Mikhail Sergachev
WAS,Jakob,Chychrun,,District of Columbia,,,FL,Florida,,NHL,,,Jakob Chychrun
CAR,Tyson,Jost,,North Carolina,,,AB,Alberta,,NHL,,,Tyson Jost
UTA,Clayton,Keller,,Utah,,,MO,Missouri,,NHL,,,Clayton Keller
BOS,Max,Jones,,Massachusetts,,,MI,Michigan,,NHL,,,Max Jones
NYI,Julien,Gauthier,,New York,,,QC,Quebec,,NHL,,,Julien Gauthier
CGY,Jake,Bean,,Alberta,,,AB,Alberta,,NHL,,,Jake Bean
NAS,Dante,Fabbro,,Tennessee,,,BC,British Columbia,,NHL,,,Dante Fabbro
BOS,Charlie,McAvoy,,Massachusetts,,,NY,New York,,NHL,,,Charlie McAvoy
WPG,Logan,Stanley,,Manitoba,,,ON,Ontario,,NHL,,,Logan Stanley
TOR,Kieffer,Bellows,,Ontario,,,MN,Minnesota,,NHL,,,Kieffer Bellows
SJ,Luke,Kunin,,California,,,MO,Missouri,,NHL,,,Luke Kunin
BOS,Riley,Tufte,,Massachusetts,,,MN,Minnesota,,NHL,,,Riley Tufte
VEG,Brett,Howden,,Nevada,,,AB,Alberta,,NHL,,,Brett Howden
NYI,Dennis,Cholowski,,New York,,,BC,British Columbia,,NHL,,,Dennis Cholowski
DAL,Sam,Steel,,Texas,,,AB,Alberta,,NHL,,,Sam Steel
BOS,Trent,Frederic,,Massachusetts,,,MO,Missouri,,NHL,,,Trent Frederic
BUF,Tage,Thompson,,New York,,,AZ,Arizona,,NHL,,,Tage Thompson
DET,Alex,DeBrincat,,Michigan,,,MI,Michigan,,NHL,,,Alex DeBrincat
NJ,Nate,Bastian,,Unknown,,,ON,Ontario,,NHL,,,Nate Bastian
PIT,Libor,Hajek,,Pennsylvania,,,,,,NHL,,,Libor Hajek
FLA,Rasmus,Asplund,,Florida,,,,,,NHL,,,Rasmus Asplund
WAS,Taylor,Raddysh,,District of Columbia,,,ON,Ontario,,NHL,,,Taylor Raddysh
SJ,Carl,Grundstrom,,California,,,,,,NHL,,,Carl Grundstrom
BUF,Kale,Clague,,New York,,,SK,Saskatchewan,,NHL,,,Kale Clague
MIN,Filip,Gustavsson,,Minnesota,,,,,,NHL,,,Filip Gustavsson
VEG,Tyler,Benson,,Nevada,,,AB,Alberta,,NHL,,,Tyler Benson
SJ,Givani,Smith,,California,,,ON,Ontario,,NHL,,,Givani Smith
CHI,Cam,Morrison,,Illinois,,,ON,Ontario,,NHL,,,Cam Morrison
COL,Samuel,Girard,,Colorado,,,QC,Quebec,,NHL,,,Samuel Girard
NYR,Ryan,Lindgren,,New York,,,MN,Minnesota,,NHL,,,Ryan Lindgren
BOS,Andrew,Peeke,,Massachusetts,,,FL,Florida,,NHL,,,Andrew Peeke
STL,Jordan,Kyrou,,Missouri,,,ON,Ontario,,NHL,,,Jordan Kyrou
SEA,Jack,LaFontaine,,Washington,,,ON,Ontario,,NHL,,,Jack LaFontaine
TOR,Joseph,Woll,,Ontario,,,MO,Missouri,,NHL,,,Joseph Woll
VAN,Filip,Hronek,,British Columbia,,,,,,NHL,,,Filip Hronek
NYR,Adam,Fox,,New York,,,NY,New York,,NHL,,,Adam Fox
EDM,Cam,Dineen,,Alberta,,,NJ,New Jersey,,NHL,,,Cam Dineen
TB,Evan,Fitzpatrick,,Florida,,,NL,Newfoundland and Labrador,,NHL,,,Evan Fitzpatrick
BOS,James,Greenway,,Massachusetts,,,NY,New York,,NHL,,,James Greenway
NYR,Casey,Fitzgerald,,New York,,,MA,Massachusetts,,NHL,,,Casey Fitzgerald
CBJ,Dylan,Gambrell,,Ohio,,,WA,Washington,,NHL,,,Dylan Gambrell
FLA,William,Lockwood,,Florida,,,MI,Michigan,,NHL,,,William Lockwood
CHI,Joey,Anderson,,Illinois,,,MN,Minnesota,,NHL,,,Joey Anderson
MON,Brandon,Gignac,,Quebec,,,QC,Quebec,,NHL,,,Brandon Gignac
OTT,Garrett,Pilon,,Ontario,,,NY,New York,,NHL,,,Garrett Pilon
NYI,Fredrik,Karlstrom,,New York,,,,,,NHL,,,Fredrik Karlstrom
BUF,Beck,Malenstyn,,New York,,,BC,British Columbia,,NHL,,,Beck Malenstyn
WPG,Axel,Jonsson-Fjallby,,Manitoba,,,,,,NHL,,,Axel Jonsson-Fjallby
WAS,Chase,Priskie,,District of Columbia,,,FL,Florida,,NHL,,,Chase Priskie
WAS,Ethan,Bear,,District of Columbia,,,SK,Saskatchewan,,NHL,,,Ethan Bear
LA,Jacob,Moverare,,California,,,,,,NHL,,,Jacob Moverare
UTA,Michael,Carcone,,Utah,,,ON,Ontario,,NHL,,,Michael Carcone
LA,Trevor,Moore,,California,,,CA,California,,NHL,,,Trevor Moore
TB,Brandon,Hagel,,Florida,,,SK,Saskatchewan,,NHL,,,Brandon Hagel
STL,Austin,Osmanski,,Missouri,,,New York,New York,,NHL,,,Austin Osmanski
CBJ,Mathieu,Olivier,,Ohio,,,MS,Mississippi,,NHL,,,Mathieu Olivier
OTT,Matthew,Boucher,,Ontario,,,CA,California,,NHL,,,Matthew Boucher
EDM,Lane,Pederson,,Alberta,,,SK,Saskatchewan,,NHL,,,Lane Pederson
NYI,Tanner,Fritz,,New York,,,AB,Alberta,,NHL,,,Tanner Fritz
SJ,Tanner,Kaspick,,California,,,MB,Manitoba,,NHL,,,Tanner Kaspick
NAS,Brayden,Burke,,Tennessee,,,AB,Alberta,,NHL,,,Brayden Burke
VEG,Gage,Quinney,,Nevada,,,NV,Nevada,,NHL,,,Gage Quinney
NJ,Jeremy,Brodeur,,Unknown,,,NJ,New Jersey,,NHL,,,Jeremy Brodeur
OTT,Noah,Gregor,,Ontario,,,AB,Alberta,,NHL,,,Noah Gregor
TOR,Mitchell,Marner,,Ontario,,,ON,Ontario,,NHL,,,Mitchell Marner
CAR,Riley,Stillman,,North Carolina,,,ON,Ontario,,NHL,,,Riley Stillman
SEA,Maxime,Lajoie,,Washington,,,QC,Quebec,,NHL,,,Maxime Lajoie
DAL,Colin,Blackwell,,Texas,,,MA,Massachusetts,,NHL,,,Colin Blackwell
CAR,Jalen,Chatfield,,North Carolina,,,MI,Michigan,,NHL,,,Jalen Chatfield
DAL,Casey,DeSmith,,Texas,,,NH,New Hampshire,,NHL,,,Casey DeSmith
BOS,Justin,Brazeau,,Massachusetts,,,ON,Ontario,,NHL,,,Justin Brazeau
CAR,Dylan,Coghlan,,North Carolina,,,BC,British Columbia,,NHL,,,Dylan Coghlan
UTA,Travis,Barron,,Utah,,,ON,Ontario,,NHL,,,Travis Barron
BOS,Jeffrey,Viel,,Massachusetts,,,QC,Quebec,,NHL,,,Jeffrey Viel
OTT,Zack,MacEwen,,Ontario,,,PE,Prince Edward Island,,NHL,,,Zack MacEwen
DET,Tim,Gettinger,,Michigan,,,OH,Ohio,,NHL,,,Tim Gettinger
CGY,Alex,Gallant,,Alberta,,,PE,Prince Edward Island,,NHL,,,Alex Gallant
CGY,Kevin,Rooney,,Alberta,,,MA,Massachusetts,,NHL,,,Kevin Rooney
LA,Tanner,Jeannot,,California,,,SK,Saskatchewan,,NHL,,,Tanner Jeannot
MIN,Ty,Ronning,,Minnesota,,,BC,British Columbia,,NHL,,,Ty Ronning
CGY,Ruslan,Zainullin,,Alberta,,,,,,NHL,,,Ruslan Zainullin
CGY,Andrei,Taratukhin,,Alberta,,,,,,NHL,,,Andrei Taratukhin
TB,Darren,Raddysh,,Florida,,,ON,Ontario,,NHL,,,Darren Raddysh
WAS,Luke,Philp,,District of Columbia,,,AB,Alberta,,NHL,,,Luke Philp
VAN,Jermaine,Loewen,,British Columbia,,,,,,NHL,,,Jermaine Loewen
COL,Keaton,Middleton,,Colorado,,,AB,Alberta,,NHL,,,Keaton Middleton
TOR,Nicolas,Mattinen,,Ontario,,,ON,Ontario,,NHL,,,Nicolas Mattinen
PHI,Rodrigo,Abols,,Pennsylvania,,,,,,NHL,,,Rodrigo Abols
MON,John,Parker Jones,,Quebec,,,ON,Ontario,,NHL,,,John Parker Jones
OTT,Matthew,Highmore,,Ontario,,,NS,Nova Scotia,,NHL,,,Matthew Highmore
VEG,Zach,Aston-Reese,,Nevada,,,NY,New York,,NHL,,,Zach Aston-Reese
CHI,Josh,Healey,,Illinois,,,AB,Alberta,,NHL,,,Josh Healey
VAN,John,Stevens,,British Columbia,,,NJ,New Jersey,,NHL,,,John Stevens
WAS,Matt,Roy,,District of Columbia,,,MI,Michigan,,NHL,,,Matt Roy
BOS,Vinni,Lettieri,,Massachusetts,,,MN,Minnesota,,NHL,,,Vinni Lettieri
VEG,Jake,Bischoff,,Nevada,,,MN,Minnesota,,NHL,,,Jake Bischoff
NJ,Joseph,Gambardella,,Unknown,,,NY,New York,,NHL,,,Joseph Gambardella
VAN,Tucker,Poolman,,British Columbia,,,IA,Iowa,,NHL,,,Tucker Poolman
NJ,Nick,DeSimone,,Unknown,,,NY,New York,,NHL,,,Nick DeSimone
WAS,Michael,Vecchione,,District of Columbia,,,MA,Massachusetts,,NHL,,,Michael Vecchione
DET,William,Lagesson,,Michigan,,,,,,NHL,,,William Lagesson
BOS,Shane,Starrett,,Massachusetts,,,MA,Massachusetts,,NHL,,,Shane Starrett
VAN,Carson,Soucy,,British Columbia,,,AB,Alberta,,NHL,,,Carson Soucy
DAL,Cameron,Hughes,,Texas,,,AB,Alberta,,NHL,,,Cameron Hughes
PIT,Joona,Koppanen,,Pennsylvania,,,,,,NHL,,,Joona Koppanen
WPG,Alex,Iafallo,,Manitoba,,,NY,New York,,NHL,,,Alex Iafallo
WPG,Neal,Pionk,,Manitoba,,,NE,Nebraska,,NHL,,,Neal Pionk
TOR,David,Kampf,,Ontario,,,,,,NHL,,,David Kampf
PHI,Cal,Petersen,,Pennsylvania,,,IA,Iowa,,NHL,,,Cal Petersen
NJ,Jesper,Bratt,,Unknown,,,,,,NHL,,,Jesper Bratt
COL,Calle,Rosen,,Colorado,,,,,,NHL,,,Calle Rosen
SJ,Jan,Rutta,,California,,,,,,NHL,,,Jan Rutta
NJ,Nico,Hischier,,Unknown,,,,,,NHL,,,Nico Hischier
DAL,Miro,Heiskanen,,Texas,,,,,,NHL,,,Miro Heiskanen
NAS,Cody,Glass,,Tennessee,,,MB,Manitoba,,NHL,,,Cody Glass
COL,Casey,Mittelstadt,,Colorado,,,MN,Minnesota,,NHL,,,Casey Mittelstadt
DET,Michael,Rasmussen,,Michigan,,,BC,British Columbia,,NHL,,,Michael Rasmussen
COL,Cale,Makar,,Colorado,,,AB,Alberta,,NHL,,,Cale Makar
VAN,Elias,Pettersson,,British Columbia,,,,,,NHL,,,Elias Pettersson
TOR,Timothy,Liljegren,,Ontario,,,,,,NHL,,,Timothy Liljegren
ANA,Urho,Vaakanainen,,California,,,,,,NHL,,,Urho Vaakanainen
PHI,Ryan,Poehling,,Pennsylvania,,,MN,Minnesota,,NHL,,,Ryan Poehling
NJ,Shane,Bowers,,Unknown,,,NS,Nova Scotia,,NHL,,,Shane Bowers
PHI,Owen,Tippett,,Pennsylvania,,,ON,Ontario,,NHL,,,Owen Tippett
CAR,Martin,Necas,,North Carolina,,,,,,NHL,,,Martin Necas
NYR,Filip,Chytil,,New York,,,,,,NHL,,,Filip Chytil
PHI,Morgan,Frost,,Pennsylvania,,,ON,Ontario,,NHL,,,Morgan Frost
BUF,Henri,Jokiharju,,New York,,,,,,NHL,,,Henri Jokiharju
DAL,Jake,Oettinger,,Texas,,,MN,Minnesota,,NHL,,,Jake Oettinger
STL,Robert,Thomas,,Missouri,,,ON,Ontario,,NHL,,,Robert Thomas
SEA,Eeli,Tolvanen,,Washington,,,,,,NHL,,,Eeli Tolvanen
UTA,Juuso,Valimaki,,Utah,,,,,,NHL,,,Juuso Valimaki
WPG,Gabriel,Vilardi,,Manitoba,,,ON,Ontario,,NHL,,,Gabriel Vilardi
OTT,Josh,Norris,,Ontario,,,MI,Michigan,,NHL,,,Josh Norris
STL,Pierre-Olivier,Joseph,,Missouri,,,QC,Quebec,,NHL,,,Pierre-Olivier Joseph
MON,Nick,Suzuki,,Quebec,,,ON,Ontario,,NHL,,,Nick Suzuki
COL,Erik,Brannstrom,,Colorado,,,,,,NHL,,,Erik Brannstrom
SJ,Klim,Kostin,,California,,,,,,NHL,,,Klim Kostin
TOR,Conor,Timmins,,Ontario,,,ON,Ontario,,NHL,,,Conor Timmins
LA,Jack,Studnicka,,California,,,ON,Ontario,,NHL,,,Jack Studnicka
BUF,Ukko-Pekka,Luukkonen,,New York,,,,,,NHL,,,Ukko-Pekka Luukkonen
FLA,Eetu,Luostarinen,,Florida,,,,,,NHL,,,Eetu Luostarinen
FLA,Jesper,Boqvist,,Florida,,,,,,NHL,,,Jesper Boqvist
NYI,Robin,Salo,,New York,,,,,,NHL,,,Robin Salo
STL,Isaac,Ratcliffe,,Missouri,,,ON,Ontario,,NHL,,,Isaac Ratcliffe
STL,Alexandre,Texier,,Missouri,,,,,,NHL,,,Alexandre Texier
BOS,Ian,Mitchell,,Massachusetts,,,AB,Alberta,,NHL,,,Ian Mitchell
DAL,Jason,Robertson,,Texas,,,CA,California,,NHL,,,Jason Robertson
WPG,Dylan,Samberg,,Manitoba,,,MN,Minnesota,,NHL,,,Dylan Samberg
WPG,Jaret,Anderson-Dolan,,Manitoba,,,AB,Alberta,,NHL,,,Jaret Anderson-Dolan
SJ,Mario,Ferraro,,California,,,ON,Ontario,,NHL,,,Mario Ferraro
FLA,Jonah,Gadjovich,,Florida,,,ON,Ontario,,NHL,,,Jonah Gadjovich
DAL,Kole,Lind,,Texas,,,SK,Saskatchewan,,NHL,,,Kole Lind
NYR,Jake,Leschyshyn,,New York,,,NC,North Carolina,,NHL,,,Jake Leschyshyn
VEG,Nicolas,Hague,,Nevada,,,ON,Ontario,,NHL,,,Nicolas Hague
VEG,Jonas,Rondbjerg,,Nevada,,,,,,NHL,,,Jonas Rondbjerg
SEA,Cale,Fleury,,Washington,,,SK,Saskatchewan,,NHL,,,Cale Fleury
BOS,Morgan,Geekie,,Massachusetts,,,MB,Manitoba,,NHL,,,Morgan Geekie
FLA,MacKenzie,Entwistle,,Florida,,,ON,Ontario,,NHL,,,MacKenzie Entwistle
SJ,Fabian,Zetterlund,,California,,,,,,NHL,,,Fabian Zetterlund
COL,David,Farrance,,Colorado,,,NY,New York,,NHL,,,David Farrance
BOS,Michael,DiPietro,,Massachusetts,,,ON,Ontario,,NHL,,,Michael DiPietro
LA,Reilly,Walsh,,California,,,MA,Massachusetts,,NHL,,,Reilly Walsh
UTA,Matt,Villalta,,Utah,,,ON,Ontario,,NHL,,,Matt Villalta
NJ,Johnathan,Kovacevic,,Unknown,,,ON,Ontario,,NHL,,,Johnathan Kovacevic
EDM,Stuart,Skinner,,Alberta,,,AB,Alberta,,NHL,,,Stuart Skinner
WAS,Benton,Maass,,District of Columbia,,,MN,Minnesota,,NHL,,,Benton Maass
MIN,Cameron,Crotty,,Minnesota,,,ON,Ontario,,NHL,,,Cameron Crotty
PIT,Sebastian,Aho,,Pennsylvania,,,,,,NHL,,,Sebastian Aho
SEA,Will,Borgen,,Washington,,,MN,Minnesota,,NHL,,,Will Borgen
WPG,Mason,Appleton,,Manitoba,,,WI,Wisconsin,,NHL,,,Mason Appleton
COL,Alexandar,Georgiev,,Colorado,,,,,,NHL,,,Alexandar Georgiev
ANA,Troy,Terry,,California,,,CO,Colorado,,NHL,,,Troy Terry
EDM,Collin,Delia,,Alberta,,,CA,California,,NHL,,,Collin Delia
BUF,Rasmus,Dahlin,,New York,,,,,,NHL,,,Rasmus Dahlin
WPG,Dominic,Toninato,,Manitoba,,,MN,Minnesota,,NHL,,,Dominic Toninato
UTA,Alexander,Kerfoot,,Utah,,,BC,British Columbia,,NHL,,,Alexander Kerfoot
WAS,Matthew,Strome,,District of Columbia,,,ON,Ontario,,NHL,,,Matthew Strome
EDM,Noel,Hoefenmayer,,Alberta,,,ON,Ontario,,NHL,,,Noel Hoefenmayer
STL,Alexey,Toropchenko,,Missouri,,,,,,NHL,,,Alexey Toropchenko
TB,Matt,Tomkins,,Florida,,,AB,Alberta,,NHL,,,Matt Tomkins
MON,Alex,Barré-Boulet,,Quebec,,,QC,Quebec,,NHL,,,Alex Barré-Boulet
MIN,Ben,Jones,,Minnesota,,,ON,Ontario,,NHL,,,Ben Jones
ANA,Dmitry,Osipov,,California,,,,,,NHL,,,Dmitry Osipov
VAN,Jiri,Patera,,British Columbia,,,,,,NHL,,,Jiri Patera
CGY,Matt,Marcinew,,Alberta,,,AB,Alberta,,NHL,,,Matt Marcinew
CAR,Sean,Walker,,North Carolina,,,ON,Ontario,,NHL,,,Sean Walker
CGY,Brady,Lyle,,Alberta,,,ON,Ontario,,NHL,,,Brady Lyle
COL,Jacob,Macdonald,,Colorado,,,OR,Oregon,,NHL,,,Jacob Macdonald
SEA,Ed,Wittchow,,Washington,,,MN,Minnesota,,NHL,,,Ed Wittchow
LA,Isaac,Johnson,,California,,,MN,Minnesota,,NHL,,,Isaac Johnson
DET,Dominik,Shine,,Michigan,,,MI,Michigan,,NHL,,,Dominik Shine
NYI,Jeff,Kubiak,,New York,,,IL,Illinois,,NHL,,,Jeff Kubiak
PHI,Jordy,Bellerive,,Pennsylvania,,,BC,British Columbia,,NHL,,,Jordy Bellerive
DET,Sheldon,Dries,,Michigan,,,MI,Michigan,,NHL,,,Sheldon Dries
NJ,Samuel,Laberge,,Unknown,,,QC,Quebec,,NHL,,,Samuel Laberge
PHI,Evan,Polei,,Pennsylvania,,,AB,Alberta,,NHL,,,Evan Polei
TB,Mikey,Eyssimont,,Florida,,,CO,Colorado,,NHL,,,Mikey Eyssimont
BUF,Connor,Clifton,,New York,,,NJ,New Jersey,,NHL,,,Connor Clifton
TOR,Cedric,Pare,,Ontario,,,QC,Quebec,,NHL,,,Cedric Pare
OTT,Drake,Batherson,,Ontario,,,IN,Indiana,,NHL,,,Drake Batherson
COL,Parker,Kelly,,Colorado,,,AB,Alberta,,NHL,,,Parker Kelly
VAN,Pius,Suter,,British Columbia,,,,,,NHL,,,Pius Suter
NYR,Alex,Belzile,,New York,,,QC,Quebec,,NHL,,,Alex Belzile
BOS,Mark,Kastelic,,Massachusetts,,,AZ,Arizona,,NHL,,,Mark Kastelic
NAS,Todd,Burgess,,Tennessee,,,AZ,Arizona,,NHL,,,Todd Burgess
OTT,Jeremy,Davies,,Ontario,,,QC,Quebec,,NHL,,,Jeremy Davies
VAN,Collin,Adams,,British Columbia,,,MI,Michigan,,NHL,,,Collin Adams
WAS,Brandon,Duhaime,,District of Columbia,,,FL,Florida,,NHL,,,Brandon Duhaime
VAN,Vincent,Desharnais,,British Columbia,,,QC,Quebec,,NHL,,,Vincent Desharnais
PIT,Filip,Larsson,,Pennsylvania,,,,,,NHL,,,Filip Larsson
COL,Ross,Colton,,Colorado,,,NJ,New Jersey,,NHL,,,Ross Colton
ANA,David,Cotton,,California,,,TX,Texas,,NHL,,,David Cotton
SJ,Lucas,Carlsson,,California,,,,,,NHL,,,Lucas Carlsson
NYR,Blake,Hillman,,New York,,,MN,Minnesota,,NHL,,,Blake Hillman
PHI,Rhett,Gardner,,Pennsylvania,,,SK,Saskatchewan,,NHL,,,Rhett Gardner
PIT,Nate,Clurman,,Pennsylvania,,,CO,Colorado,,NHL,,,Nate Clurman
VEG,Tanner,Laczynski,,Nevada,,,IL,Illinois,,NHL,,,Tanner Laczynski
MON,Michael,Pezzetta,,Quebec,,,ON,Ontario,,NHL,,,Michael Pezzetta
WPG,Dean,Stewart,,Manitoba,,,MB,Manitoba,,NHL,,,Dean Stewart
WAS,Logan,Thompson,,District of Columbia,,,AB,Alberta,,NHL,,,Logan Thompson
OTT,Adam,Gaudette,,Ontario,,,MA,Massachusetts,,NHL,,,Adam Gaudette
MON,Jake,Evans,,Quebec,,,ON,Ontario,,NHL,,,Jake Evans
BOS,Jeremy,Swayman,,Massachusetts,,,AK,Alaska,,NHL,,,Jeremy Swayman
BUF,Sam,Lafferty,,New York,,,PA,Pennsylvania,,NHL,,,Sam Lafferty
VEG,Zach,Whitecloud,,Nevada,,,MB,Manitoba,,NHL,,,Zach Whitecloud
CHI,Brett,Seney,,Illinois,,,ON,Ontario,,NHL,,,Brett Seney
VAN,Kiefer,Sherwood,,British Columbia,,,OH,Ohio,,NHL,,,Kiefer Sherwood
VAN,Christian,Wolanin,,British Columbia,,,QC,Quebec,,NHL,,,Christian Wolanin
UTA,Austin,Poganski,,Utah,,,MN,Minnesota,,NHL,,,Austin Poganski
NAS,Anthony,Angello,,Tennessee,,,NY,New York,,NHL,,,Anthony Angello
VEG,Victor,Olofsson,,Nevada,,,,,,NHL,,,Victor Olofsson
CAR,David,Kase,,North Carolina,,,,,,NHL,,,David Kase
NYI,Pierre,Engvall,,New York,,,,,,NHL,,,Pierre Engvall
DAL,Ilya,Lyubushkin,,Texas,,,,,,NHL,,,Ilya Lyubushkin
CAR,Jesperi,Kotkaniemi,,North Carolina,,,,,,NHL,,,Jesperi Kotkaniemi
